HumanId,Seed,Cat,Age,Tags,Behavior,Caution,PrimaryAnchor,SecondaryFeature,AbilityBands,TagTextLength,BehaviorLength,CautionLength,TotalVisibleCharacters,SentenceCount
"H01",11111,"クロ",6,"#慎重 #夜型 #高いところ好き","夜になると高い場所へ移り、少し離れたところから周囲を眺める。初めての状況では、すぐに近づかず様子を見る。","",night+high_place,independence.VeryHigh,"A=Low,S=Low,I=VeryHigh,D=Middle",16,52,0,71,2
"H01",11111,"トラ",1,"#活発 #遊び好き #夜型","人やおもちゃの動きへすぐ反応し、そのまま遊び続けようとする。夜にも交流や刺激を求めることがある。","",active+playful,sociability.VeryHigh,"A=VeryHigh,S=VeryHigh,I=Low,D=High",13,48,0,64,2
"H01",11111,"シロ",8,"#おだやか #物静か","静かにくつろぐ時間を多く持ち、ときどき人の近くへ来る。環境が変わっても、落ち着ける場所を比較的見つけやすい。","",quiet,adaptability.VeryHigh,"A=Low,S=High,I=High,D=VeryHigh",10,54,0,67,2
"H01",22222,"クロ",6,"#慎重 #夜型 #高いところ好き","夜になると高い場所へ移り、少し離れたところから周囲を眺める。初めての状況では、すぐに近づかず様子を見る。","",night+high_place,independence.VeryHigh,"A=Low,S=Low,I=VeryHigh,D=Middle",16,52,0,71,2
"H01",22222,"トラ",1,"#活発 #遊び好き #夜型","人やおもちゃの動きへすぐ反応し、そのまま遊び続けようとする。夜にも交流や刺激を求めることがある。","",active+playful,sociability.VeryHigh,"A=VeryHigh,S=VeryHigh,I=Low,D=High",13,48,0,64,2
"H01",22222,"ソラ",4,"#おだやか #遊び好き #高いところ好き","人やおもちゃの動きへ反応し、高い場所へ移って周囲を見ることも好む。新しい状況でも、落ち着ける場所を比較的見つけやすい。","",playful,trait.high_place,"A=Middle,S=High,I=Middle,D=VeryHigh",20,59,0,82,2
"H02",11111,"ナギ",5,"#物静か #ひとり上手","落ち着ける場所を見つけ、長く静かに過ごすことが多い。必要なときにだけ場所を移し、自分の時間を保つ。","",quiet+independent,activity.VeryLow,"A=VeryLow,S=Low,I=VeryHigh,D=High",11,49,0,63,2
"H02",11111,"リン",4,"#人なつっこい #おだやか","人の近くへ寄って穏やかに過ごす。新しい状況では、様子を見ながら普段の過ごし方へ戻る。","出入口が開くと、外へ出ようとすることがある。",ability.sociability,none,"A=Low,S=VeryHigh,I=Low,D=High",13,42,22,80,2
"H02",11111,"ポン",1,"#活発 #遊び好き","人やおもちゃの動きへすぐ反応し、交流を交えながら遊び続けようとする。遊びの合間には自分で気になる場所を確かめることもある。","",active+playful,none,"A=VeryHigh,S=High,I=Middle,D=High",9,61,0,73,2
"H02",22222,"ナギ",5,"#物静か #ひとり上手","落ち着ける場所を見つけ、長く静かに過ごすことが多い。必要なときにだけ場所を移し、自分の時間を保つ。","",quiet+independent,activity.VeryLow,"A=VeryLow,S=Low,I=VeryHigh,D=High",11,49,0,63,2
